epoch;accuracy;val_accuracy;loss;val_loss;time;;;;
1;0,901051819;0,963222086;0,284125924;0,326456755;130;;Hasil;Max;Min
2;0,959848523;0,963222086;0,284125924;0,244383365;106;;Akurasi;0,968652487;0,901051819
3;0,959848523;0,963222086;0,24778454;0,226050451;111;;Val Akurasi;0,971105039;0,963222086
4;0,959848523;0,963222086;0,230699643;0,212859929;110;;Loss;0,284125924;0,117277279
5;0,959855795;0,963254929;0,217512116;0,202286854;109;;Val Loss;0,326456755;0,116186567
6;0,960017025;0,963522971;0,206899166;0,193515688;110;;Waktu;;95,93333333
7;0,960563302;0,964195848;0,19798252;0,186119214;110;;Waktu rata rata;;115,12
8;0,961480081;0,965186;0,190436274;0,179814652;111;;;;
9;0,962699234;0,966312885;0,184014603;0,174403161;112;;;;
10;0,963493109;0,966942012;0,17842342;0,169740245;110;;;;
11;0,964035153;0,967149913;0,173671544;0,16567573;115;;;;
12;0,964535236;0,967625797;0,169618517;0,162120551;114;;;;
13;0,965048671;0,968079865;0,165953591;0,158992603;115;;;;
14;0,965435565;0,968643308;0,162709445;0,15620324;115;;;;
15;0,965867519;0,969080985;0,1597251;0,153684288;114;;;;
16;0,966165006;0,969239593;0,157280892;0,151390746;115;;;;
17;0,966380954;0,969316185;0,154903129;0,149322316;115;;;;
18;0,966518462;0,969420135;0,152652755;0,147404313;115;;;;
19;0,966795206;0,969447494;0,150320873;0,145617113;114;;;;
20;0,966860294;0,969529569;0,148521274;0,143932819;115;;;;
21;0,966967404;0,969622552;0,146708325;0,142372072;115;;;;
22;0,967031896;0,969704568;0,145157009;0,140892074;116;;;;
23;0,967149317;0,969721019;0,143426761;0,139503717;115;;;;
24;0,96723932;0,969764769;0,142022818;0,138152555;115;;;;
25;0,967282534;0,969819486;0,140359074;0,136894599;117;;;;
26;0,967323303;0,969852269;0,139222741;0,13567245;115;;;;
27;0,967356741;0,969879627;0,137812451;0,134528816;116;;;;
28;0,967381656;0,969961703;0,136667848;0,13340427;116;;;;
29;0,967455924;0,969983578;0,135297179;0,132355481;115;;;;
30;0,967539251;0,970000029;0,134199336;0,131327569;118;;;;
31;0,967590332;0,97010392;0,133044735;0,130330876;116;;;;
32;0,967627466;0,970196962;0,131932586;0,129378065;117;;;;
33;0,967651188;0,97025162;0,131041199;0,128462657;116;;;;
34;0,967792928;0,970311821;0,129899785;0,127564594;115;;;;
35;0,967798412;0,970388412;0,129071265;0,126695544;118;;;;
36;0,967843413;0,970421255;0,128048167;0,125856534;115;;;;
37;0,967845261;0,970481396;0,127179816;0,125061065;116;;;;
38;0,967947423;0,970503271;0,126153857;0,124258406;116;;;;
39;0,967936516;0,970530629;0,125548676;0,123490997;117;;;;
40;0,968000352;0,970596254;0,124673381;0,122742414;117;;;;
41;0,968077004;0,970612705;0,124024935;0,122007988;118;;;;
42;0,968260765;0,970689297;0,122977994;0,121311657;115;;;;
43;0,968306363;0,970716655;0,122156411;0,120614626;117;;;;
44;0,968331933;0,970771313;0,121341608;0,119954318;116;;;;
45;0,968261361;0,970842421;0,120935649;0,119282402;116;;;;
46;0,968388498;0,970858872;0,120134495;0,118631445;119;;;;
47;0,968511999;0,970891714;0,119212262;0,118006907;117;;;;
48;0,968482196;0,970979214;0,118627332;0,11738617;117;;;;
49;0,968555152;0,971028447;0,117971301;0,116790518;117;;;;
50;0,968652487;0,971105039;0,117277279;0,116186567;117;;;;
